,Danceability,Energy,Loudness,Speechiness,acousticness,instrumentalness,liveness,valence,tempo,ID_x,index,Playlist Name,Playlist ID,Song,ID_y,Rank,Country
24,0.832,0.591,-5.481,0.147,0.0684,0.000368,0.196,0.537,104.996,1bWafkUCOp6luXRs1cm3w9,69,France Top 50,37i9dQZEVXbIPWwFssbupI,Hé oh,1bWafkUCOp6luXRs1cm3w9,6,France
25,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK,95,US Top 50,37i9dQZEVXbLRQDuF5jeBp,ROXANNE,696DnlkuDOXcMAnKlTgXXK,6,US
26,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,96,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Circles,21jGcNKet2qwijlDFuPiPb,6,US
27,0.531,0.75,-5.831,0.111,0.00632,7.6e-05,0.117,0.198,169.954,57vxBYXtHMk6H1aD29V7PU,97,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Heartless,57vxBYXtHMk6H1aD29V7PU,6,US
28,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn,98,US Top 50,37i9dQZEVXbLRQDuF5jeBp,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,US
29,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048,1M4qEo4HE3PRaCOM7EXNJq,99,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Adore You,1M4qEo4HE3PRaCOM7EXNJq,6,US
30,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn,105,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,UK
31,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78,106,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,6,UK
32,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku,107,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,UK
33,0.589,0.472,-8.749,0.0502,0.614,0.0,0.505,0.898,67.196,2EjXfH91m7f8HiJN1yQg97,108,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,6,UK
