,Playlist Name,Playlist ID,Song,ID,Rank,Country
45,Sweden Top 50,37i9dQZEVXbLoATJ81JYXz,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,Sweden
46,Sweden Top 50,37i9dQZEVXbLoATJ81JYXz,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,6,Sweden
47,Sweden Top 50,37i9dQZEVXbLoATJ81JYXz,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Sweden
48,Sweden Top 50,37i9dQZEVXbLoATJ81JYXz,Lev nu dö sen,6HJasLoTKvxglAMQH8nPcD,6,Sweden
49,Sweden Top 50,37i9dQZEVXbLoATJ81JYXz,TESLA,4LZi20EAgNBhTR3OBWLzdr,6,Sweden
50,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,Pretender,58dxGXavrcagRqA58fNB0Z,6,Japan
51,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,Hakujitsu,0mNO3xUzjsI17GXO1DRFCH,6,Japan
52,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,宿命,2yozZfRYHP7Elsymghu5t3,6,Japan
53,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,イエスタデイ,3S3DDZrPOYTirleXRyHnNM,6,Japan
54,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,ノーダウト,5DMEvbg3gUmiR5HIBWdveV,6,Japan
55,Chile Top 50,37i9dQZEVXbL0GavIqMTeb,Tusa,7k4t7uLgtOxPwTpFmtJNTY,6,Chile
56,Chile Top 50,37i9dQZEVXbL0GavIqMTeb,Hola - Remix,5stPVcRqb4qixbafP9e8lt,6,Chile
57,Chile Top 50,37i9dQZEVXbL0GavIqMTeb,Vete,5DxXgozhkPLgrbKFY91w0c,6,Chile
58,Chile Top 50,37i9dQZEVXbL0GavIqMTeb,Fantasias,6mAN61JH0dzyZpWslS11jy,6,Chile
59,Chile Top 50,37i9dQZEVXbL0GavIqMTeb,Whine Up,2pWOMNQJW3g2zmGjP0Vkb0,6,Chile
60,Indonesia Top 50,37i9dQZEVXbObFQZ3JLcXt,Memories,2b8fOow8UzyDFAE27YhOZM,6,Indonesia
61,Indonesia Top 50,37i9dQZEVXbObFQZ3JLcXt,Location Unknown ◐ - Brooklyn Session,4aT6vP9y2eDjxmRGm5ZqSC,6,Indonesia
62,Indonesia Top 50,37i9dQZEVXbObFQZ3JLcXt,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Indonesia
63,Indonesia Top 50,37i9dQZEVXbObFQZ3JLcXt,Halu,3c4cBEObUsLU8O5I2yQP3l,6,Indonesia
64,Indonesia Top 50,37i9dQZEVXbObFQZ3JLcXt,Tolong,5X5Vj8FcxyoLzq9qxAa45U,6,Indonesia
65,France Top 50,37i9dQZEVXbIPWwFssbupI,Ne reviens pas,4TnFANpjVwVKWzkxNzIyFH,6,France
66,France Top 50,37i9dQZEVXbIPWwFssbupI,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,France
67,France Top 50,37i9dQZEVXbIPWwFssbupI,Popopop,18HNGxDOcshRU2Hdu8tMOM,6,France
68,France Top 50,37i9dQZEVXbIPWwFssbupI,Mayday (feat. Ninho),1SVuEeerYIwjCRsF5MGzX3,6,France
69,France Top 50,37i9dQZEVXbIPWwFssbupI,Hé oh,1bWafkUCOp6luXRs1cm3w9,6,France
70,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,Norway
71,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Norway
72,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,6,Norway
73,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,Home for Christmas,3E0fq2gqsNbQo5paAuEcmc,6,Norway
74,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,Himmel På Jord,0WFyQgDzbQCfJuxcHW4Zrt,6,Norway
75,Philippines Top 50,37i9dQZEVXbNBz9cRCSFkY,Memories,2b8fOow8UzyDFAE27YhOZM,6,Philippines
76,Philippines Top 50,37i9dQZEVXbNBz9cRCSFkY,Neneng B,0BaMZMMEG7GWrUYsoGw8Yg,6,Philippines
77,Philippines Top 50,37i9dQZEVXbNBz9cRCSFkY,Pagtingin,5l9g7py8RCblcvbZgGQgSd,6,Philippines
78,Philippines Top 50,37i9dQZEVXbNBz9cRCSFkY,Binalewala - Original Version,2tR5liucorXRwduxr0qEx6,6,Philippines
79,Philippines Top 50,37i9dQZEVXbNBz9cRCSFkY,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,6,Philippines
80,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,Tusa,7k4t7uLgtOxPwTpFmtJNTY,6,Colombia
81,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,Fantasias,6mAN61JH0dzyZpWslS11jy,6,Colombia
82,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,6,Colombia
83,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,6,Colombia
84,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,China,2ksOAxtIxY8yElEWw8RhgK,6,Colombia
85,India Top 50,37i9dQZEVXbLZ52XmnySJg,"Ghungroo (From ""War"")",0WdbnNKO0Jt4BZACSDQh44,6,India
86,India Top 50,37i9dQZEVXbLZ52XmnySJg,Filhall,6E7P1uT2afeor2t6wR2y2r,6,India
87,India Top 50,37i9dQZEVXbLZ52XmnySJg,Memories,2b8fOow8UzyDFAE27YhOZM,6,India
88,India Top 50,37i9dQZEVXbLZ52XmnySJg,"Tum Hi Aana (From ""Marjaavaan"")",6E9UwSfT80age2xknoMS7Y,6,India
89,India Top 50,37i9dQZEVXbLZ52XmnySJg,Makhna,0ZHILXmUaVSLEOCWxPQ1ga,6,India
90,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,Benjamins 3,3F1vlhA0ISnqXJMOXUZP7V,6,Turkey
91,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,Wir sind Kral,2KlbLTnQ5Wch2oOelW0Y2k,6,Turkey
92,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,AYA,4IJEw3fDvS6XF4sDc3bvjK,6,Turkey
93,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,Arkadaş,6bBnnrknLbDoOCUdKMkmnq,6,Turkey
94,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,Toz Taneleri,36ulbeGLdspdIYSFKXIlmN,6,Turkey
95,US Top 50,37i9dQZEVXbLRQDuF5jeBp,ROXANNE,696DnlkuDOXcMAnKlTgXXK,6,US
96,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Circles,21jGcNKet2qwijlDFuPiPb,6,US
97,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Heartless,57vxBYXtHMk6H1aD29V7PU,6,US
98,US Top 50,37i9dQZEVXbLRQDuF5jeBp,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,US
99,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Adore You,1M4qEo4HE3PRaCOM7EXNJq,6,US
100,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,Tusa,7k4t7uLgtOxPwTpFmtJNTY,6,Peru
101,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,Fantasias,6mAN61JH0dzyZpWslS11jy,6,Peru
102,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,6,Peru
103,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,China,2ksOAxtIxY8yElEWw8RhgK,6,Peru
104,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,6,Peru
105,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,UK
106,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,6,UK
107,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,UK
108,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,6,UK
109,UK Top 50,37i9dQZEVXbLnolsZ8PSNw,It's Beginning to Look a Lot like Christmas,0lLdorYw7lVrJydTINhWdI,6,UK
110,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,Hei rakas,0tc8HGXosQDC8TTAaON1TP,6,Finland
111,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Finland
112,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,Ikuinen vappu,4ycKgmGOtvuJZVPyvBpVVU,6,Finland
113,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,Hiljaisii heeroksii,2RKLKjagHoASJaW1VTPBgr,6,Finland
114,Finland Top 50,37i9dQZEVXbMxcczTSoGwZ,v!@%#mikko,3XlrrR3tR56dRC2sgNNhOD,6,Finland
115,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Ireland
116,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,Ireland
117,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,Before You Go,2gMXnyrvIjhVBUZwvLZDMP,6,Ireland
118,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,6,Ireland
119,Ireland Top 50,37i9dQZEVXbKM896FDX8L1,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,6,Ireland
120,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,Denmark
121,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,6,Denmark
122,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,Tinka,2f82yXiMKGkX2CtbkhgtvT,6,Denmark
123,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,Kærlighed (feat. Gilli & Kesi),2xeiAqqHWYXQMWk6s2aQdw,6,Denmark
124,Denmark Top 50,37i9dQZEVXbL3J0k32lWnN,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,6,Denmark
125,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Fantasias,6mAN61JH0dzyZpWslS11jy,6,Paraguay
126,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Hola - Remix,5stPVcRqb4qixbafP9e8lt,6,Paraguay
127,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Tusa,7k4t7uLgtOxPwTpFmtJNTY,6,Paraguay
128,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Bellaquita - Remix,1Xnn1TPyr5h0hpRAT4B4EA,6,Paraguay
129,Paraguay Top 50,37i9dQZEVXbNOUPGj7tW6T,Quizas,5Id5B3dxJZhPcV9GzgYZZe,6,Paraguay
130,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Canada
131,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,ROXANNE,696DnlkuDOXcMAnKlTgXXK,6,Canada
132,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,Canada
133,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Heartless,57vxBYXtHMk6H1aD29V7PU,6,Canada
134,Canada Top 50,37i9dQZEVXbKj23U1GF4IR,Circles,21jGcNKet2qwijlDFuPiPb,6,Canada
135,Taiwan Top 50,37i9dQZEVXbMnZEatlMSiu,Without You,0KWnRv3wxjltYVB3MqjNd2,6,Taiwan
