,Danceability,Energy,Loudness,Speechiness,acousticness,instrumentalness,liveness,valence,tempo,ID
50,0.538,0.869,-3.464,0.0275,0.047,0.0,0.14,0.369,91.972,58dxGXavrcagRqA58fNB0Z
51,0.606,0.901,-2.552,0.11,0.67,0.0,0.289,0.748,93.012,0mNO3xUzjsI17GXO1DRFCH
52,0.547,0.577,-6.087,0.0336,0.0152,0.0,0.109,0.494,164.032,2yozZfRYHP7Elsymghu5t3
53,0.541,0.8,-3.687,0.0382,0.0442,0.0,0.398,0.56,129.939,3S3DDZrPOYTirleXRyHnNM
54,0.574,0.936,-3.185,0.07,0.0585,0.0,0.336,0.793,149.953,5DMEvbg3gUmiR5HIBWdveV
55,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
56,0.654,0.672,-5.98,0.311,0.471,0.0,0.0781,0.343,181.857,5stPVcRqb4qixbafP9e8lt
57,0.886,0.672,-4.394,0.188,0.0363,8.78e-06,0.101,0.526,91.976,5DxXgozhkPLgrbKFY91w0c
58,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
59,0.817,0.665,-6.224,0.0758,0.0549,0.0,0.103,0.662,104.957,2pWOMNQJW3g2zmGjP0Vkb0
60,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
61,0.508,0.293,-7.47,0.0446,0.941,0.0,0.0787,0.395,91.511,4aT6vP9y2eDjxmRGm5ZqSC
62,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
63,0.338,0.251,-14.544,0.0353,0.866,0.0324,0.11,0.0963,116.419,3c4cBEObUsLU8O5I2yQP3l
64,0.435,0.2,-12.481,0.0365,0.891,0.0,0.103,0.244,136.054,5X5Vj8FcxyoLzq9qxAa45U
65,0.932,0.778,-3.384,0.0638,0.212,0.0,0.168,0.933,124.996,4TnFANpjVwVKWzkxNzIyFH
66,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
67,0.833,0.652,-6.194,0.31,0.0477,0.000138,0.145,0.414,130.002,18HNGxDOcshRU2Hdu8tMOM
68,0.614,0.596,-7.664,0.357,0.605,5.3e-06,0.0945,0.248,152.138,1SVuEeerYIwjCRsF5MGzX3
69,0.832,0.591,-5.481,0.147,0.0684,0.000368,0.196,0.537,104.996,1bWafkUCOp6luXRs1cm3w9
70,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
71,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
72,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78
73,0.513,0.144,-15.021,0.0457,0.926,0.0,0.117,0.43,134.037,3E0fq2gqsNbQo5paAuEcmc
74,0.299,0.222,-9.401,0.0323,0.877,0.0,0.112,0.36,81.172,0WFyQgDzbQCfJuxcHW4Zrt
75,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
76,0.848,0.447,-10.56,0.078,0.24,0.0,0.0858,0.353,117.959,0BaMZMMEG7GWrUYsoGw8Yg
77,0.669,0.42,-8.464,0.0253,0.506,0.0,0.404,0.523,95.049,5l9g7py8RCblcvbZgGQgSd
78,0.501,0.57,-6.49,0.0337,0.569,0.0,0.0649,0.311,139.516,2tR5liucorXRwduxr0qEx6
79,0.654,0.63,-4.644,0.0259,0.153,0.0,0.111,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa
80,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
81,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
82,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,6cy3ki60hLwimwIje7tALf
83,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18
84,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK
85,0.695,0.727,-6.274,0.0323,0.0744,0.000175,0.533,0.864,118.034,0WdbnNKO0Jt4BZACSDQh44
86,0.526,0.659,-4.14,0.0558,0.605,0.0,0.134,0.586,79.907,6E7P1uT2afeor2t6wR2y2r
87,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
88,0.473,0.401,-7.018,0.0241,0.629,1.17e-05,0.154,0.345,90.076,6E9UwSfT80age2xknoMS7Y
89,0.696,0.704,-7.876,0.0423,0.167,0.0,0.155,0.426,124.972,0ZHILXmUaVSLEOCWxPQ1ga
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
91,0.801,0.688,-6.62,0.113,0.278,0.00888,0.15,0.41,158.003,2KlbLTnQ5Wch2oOelW0Y2k
92,0.743,0.68,-4.344,0.103,0.113,0.123,0.183,0.694,180.059,4IJEw3fDvS6XF4sDc3bvjK
93,0.81,0.631,-7.855,0.327,0.117,0.0,0.119,0.407,144.978,6bBnnrknLbDoOCUdKMkmnq
94,0.628,0.725,-7.387,0.11,0.0266,0.0,0.0549,0.458,173.952,36ulbeGLdspdIYSFKXIlmN
95,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
96,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb
97,0.531,0.75,-5.831,0.111,0.00632,7.6e-05,0.117,0.198,169.954,57vxBYXtHMk6H1aD29V7PU
98,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
99,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048,1M4qEo4HE3PRaCOM7EXNJq
100,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
101,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
102,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,6cy3ki60hLwimwIje7tALf
103,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK
104,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18
105,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
