,Playlist Name,Playlist ID,Name,ID,Rank,Country
72,Philippines Top 50,37i9dQZEVXbNBz9cRCSFkY,Neneng B,0BaMZMMEG7GWrUYsoGw8Yg,3,Philippines
73,Philippines Top 50,37i9dQZEVXbNBz9cRCSFkY,Binalewala - Original Version,2tR5liucorXRwduxr0qEx6,4,Philippines
74,Philippines Top 50,37i9dQZEVXbNBz9cRCSFkY,Imahe,65sEZZaxTjLMD8vNgPoMz5,5,Philippines
75,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,1,Norway
76,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,2,Norway
77,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,Last Christmas,2FRnf9qhLbvw8fu4IBXx78,3,Norway
78,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,Home for Christmas,3E0fq2gqsNbQo5paAuEcmc,4,Norway
79,Norway Top 50,37i9dQZEVXbJvfa0Yxg7E7,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,5,Norway
80,India Top 50,37i9dQZEVXbLZ52XmnySJg,"Ghungroo (From ""War"")",0WdbnNKO0Jt4BZACSDQh44,1,India
81,India Top 50,37i9dQZEVXbLZ52XmnySJg,Memories,2b8fOow8UzyDFAE27YhOZM,2,India
82,India Top 50,37i9dQZEVXbLZ52XmnySJg,Makhna,0ZHILXmUaVSLEOCWxPQ1ga,3,India
83,India Top 50,37i9dQZEVXbLZ52XmnySJg,"Tum Hi Aana (From ""Marjaavaan"")",6E9UwSfT80age2xknoMS7Y,4,India
84,India Top 50,37i9dQZEVXbLZ52XmnySJg,Filhall,6E7P1uT2afeor2t6wR2y2r,5,India
85,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,Tusa,7k4t7uLgtOxPwTpFmtJNTY,1,Colombia
86,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,Fantasias,6mAN61JH0dzyZpWslS11jy,2,Colombia
87,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,3,Colombia
88,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,4,Colombia
89,Colombia Top 50,37i9dQZEVXbOa2lmxNORXQ,China,2ksOAxtIxY8yElEWw8RhgK,5,Colombia
90,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,Benjamins 3,3F1vlhA0ISnqXJMOXUZP7V,1,Turkey
91,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,Wir sind Kral,2KlbLTnQ5Wch2oOelW0Y2k,2,Turkey
92,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,AYA,4IJEw3fDvS6XF4sDc3bvjK,3,Turkey
93,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,Arkadaş,6bBnnrknLbDoOCUdKMkmnq,4,Turkey
94,Turkey Top 50,37i9dQZEVXbIVYVBNw9D5K,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,5,Turkey
95,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,1,US
96,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,2,US
97,US Top 50,37i9dQZEVXbLRQDuF5jeBp,ROXANNE,696DnlkuDOXcMAnKlTgXXK,3,US
98,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Circles,21jGcNKet2qwijlDFuPiPb,4,US
99,US Top 50,37i9dQZEVXbLRQDuF5jeBp,Robbery,6Hj9jySrnFppAI0sEMCZpJ,5,US
100,Peru Top 50,37i9dQZEVXbJfdy5b0KP7W,Tusa,7k4t7uLgtOxPwTpFmtJNTY,1,Peru
