,Country,Artist(s),Song Title,Rank,Source,Album,Genre,Spotify_ID,Country_ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
28,France,Jul,Mon bébé d'amour,,Apple,C'est pas des LOL,Hip-hop/Rap,6ONBway3VLMdg9tQMZixT7,3,0.839,0.911,2,-5.625,0.172,0.207,4.9e-06,0.0711,0.779,114.959,209107
29,France,Nirvana,Smells Like Teen Spirit,1.0,LastFM,Nevermind,,5ghIJDpPoe3CfHMGu71E6T,3,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
30,France,Radiohead,Creep,2.0,LastFM,Pablo Honey,,6b2oQwSGFkzsMtQruIWm2p,3,0.515,0.43,7,-9.935,0.0369,0.0102,0.000141,0.129,0.104,91.841,238640
31,France,Jain,Come,3.0,LastFM,Zanaka,,3TTMUI5dFcbeNSDTTDY9M8,3,0.679,0.728,5,-3.092,0.154,0.159,0.0,0.107,0.46,152.001,181013
32,France,Oasis,Wonderwall,4.0,LastFM,(What's the Story) Morning Glory?,,5wj4E6IsrVtn8IBJQOd0Cl,3,0.372,0.865,2,-4.918,0.0381,0.000453,0.0,0.234,0.478,174.53,258733
33,France,Radiohead,Karma Police,5.0,LastFM,OK Computer,,3SVAN3BRByDmHOhKyIDxfC,3,0.36,0.505,7,-9.129,0.026,0.0626,9.22e-05,0.172,0.317,74.807,264067
34,Germany,Nirvana,Smells Like Teen Spirit,1.0,LastFM,Nevermind,,5ghIJDpPoe3CfHMGu71E6T,4,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
35,Germany,Toto,Africa,2.0,LastFM,Toto IV,,2374M0fQpWi3dLnB54qaLX,4,0.671,0.373,9,-18.064,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893
36,Germany,The Killers,Mr. Brightside,3.0,LastFM,Hot Fuss,,7oK9VyNzrYvRFo7nQEYkWN,4,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
37,Germany,Nirvana,Come as You Are,4.0,LastFM,Nevermind,,4P5KoWXOxwuobLmHXLMobV,4,0.5,0.824,4,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920
38,Germany,Adele,Hello,5.0,LastFM,25,,4sPmO7WMQUAf45kwMOtONw,4,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
39,Hong Kong,Shawn Mendes & Camila Cabello,Señorita,,Apple,Señorita - Single,流行樂,0TK2YIli7K1leLovkQiNik,5,0.759,0.54,9,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947,190960
40,Hong Kong,Idina Menzel & AURORA,Into the Unknown,,Apple,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),原聲帶,3Z0oQ8r78OUaHvGPiDBR3W,5,0.323,0.405,10,-8.533,0.0413,0.849,0.000544,0.138,0.274,145.104,194848
41,Hong Kong,周杰倫 & 阿信,說好不哭,,Apple,說好不哭 - Single,國語流行樂,56wVfJKtnwlSZtC4NVgIrf,5,0.512,0.35,10,-11.843,0.0311,0.478,1.15e-06,0.0855,0.343,152.023,222333
42,Hong Kong,Idina Menzel & Evan Rachel Wood,Show Yourself,,Apple,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),原聲帶,50WeOnXhM1H7AZEeIDoWfZ,5,0.321,0.429,6,-7.073,0.0302,0.724,9.1e-05,0.0606,0.174,123.421,260907
43,Hong Kong,魔力紅樂團,Memories,,Apple,Memories - Single,流行樂,2b8fOow8UzyDFAE27YhOZM,5,0.764,0.32,11,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,189486
44,Hong Kong,Adele,Hello,1.0,LastFM,25,,4sPmO7WMQUAf45kwMOtONw,5,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
45,Hong Kong,The Weeknd,Can't Feel My Face,2.0,LastFM,Beauty Behind the Madness,,22VdIZQfgXJea34mQxlt81,5,0.705,0.769,9,-5.526,0.0426,0.112,0.0,0.105,0.59,107.939,213520
46,Hong Kong,Ed Sheeran,Photograph,3.0,LastFM,x,,1HNkqx9Ahdgi1Ixy2xkKkL,5,0.614,0.379,4,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987
47,Hong Kong,Ed Sheeran,Thinking Out Loud,4.0,LastFM,x,,34gCuhDGsG4bRPIf9bb02f,5,0.781,0.445,2,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560
48,Hong Kong,Ed Sheeran,Shape of You,5.0,LastFM,÷ (Deluxe),,7qiZfU4dY1lWllzX7mPBI3,5,0.825,0.652,1,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713
49,Japan,Official髭男dism,Pretender,,Apple,Pretender - Single,J-Pop,7x8dCjCr0x6x2lXKujYD34,6,0.433,0.959,9,-4.04,0.0431,0.000917,0.0,0.028,0.365,172.984,269373
50,Japan,King Gnu,白日,,Apple,白日 - Single,オルタナティブ,7f6294j6awMKzkePCiRbjj,6,0.448,0.937,2,-3.833,0.0568,5.5e-05,0.246,0.168,0.314,143.037,296733
51,Japan,Official髭男dism,宿命,,Apple,宿命 - Single,J-Pop,1T6Db8pPGs2CaMGKQwfR5o,6,0.346,0.475,2,-8.992,0.0335,0.757,1.87e-05,0.171,0.232,126.821,237689
52,Japan,Official髭男dism,イエスタデイ,,Apple,Traveler,J-Pop,270LcmQ5eUlY2Sl6Y4L6Wn,6,0.316,0.182,10,-15.146,0.0413,0.827,0.957,0.305,0.149,74.197,125760
53,Japan,あいみょん,マリーゴールド,,Apple,瞬間的シックスセンス,J-Pop,0jWVUKsIoyo3zw64RaEWYg,6,0.545,0.745,2,-3.098,0.0286,0.0452,0.0,0.0907,0.413,106.094,306627
54,Japan,スピッツ,ロビンソン,1.0,LastFM,ハチミツ,,4SBVWkRIMJ6WBCYPvr5Bwr,6,0.676,0.56,4,-6.024,0.0643,0.0112,0.00403,0.137,0.551,178.555,219332
55,Japan,宇多田ヒカル,花束を君に,2.0,LastFM,花束を君に,,31yv1hR9gw1WSEmtqsaZbD,6,0.521,0.539,4,-7.667,0.029,0.538,0.0,0.307,0.358,81.979,278240
56,Japan,サカナクション,新宝島,3.0,LastFM,新宝島,,4a48lWUd64bZgHUDx0GZlj,6,0.551,0.919,7,-3.484,0.074,0.0013,0.00638,0.352,0.652,157.989,305000
57,Japan,ASIAN KUNG-FU GENERATION,リライト,4.0,LastFM,ソルファ,,630sXRhIcfwr2e4RdNtjKN,6,0.684,0.619,10,-7.005,0.0386,0.0716,0.0,0.122,0.284,125.046,217440
58,Japan,宇多田ヒカル,道,5.0,LastFM,Hikaru Utada Laughter in the Dark Tour 2018,,6KAw9NEvkVlIhg5T0G97M8,6,0.493,0.295,1,-9.924,0.0251,0.494,0.0,0.13,0.301,86.982,277160
59,Netherlands,Tones and I,Dance Monkey,,Apple,Dance Monkey - Single,Alternative,2XU0oxnq2qxCpomAAuJY8K,7,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
