,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID
30,UK,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple,2XU0oxnq2qxCpomAAuJY8K
31,UK,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,Hip-Hop/Rap,2,Apple,07s9NNOT0sZQp7TyolLLgu
32,UK,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Christmas,3,Apple,0bYg9bo50gSsH3LtXe2SQn
33,UK,Last Christmas,Wham!,Twenty Five,Pop,4,Apple,6wn2nmFn3wDuiMldRiuRuL
34,UK,Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,5,Apple,7ce20yLkzuXXLUhzIDoZih
35,Germany,KEIN SCHLAF,Nimo & Hava,NIMORIGINAL,Hip-Hop/Rap,1,Apple,6416zJN0FGPmh1Ph4BH2h3
36,Germany,COLT,Samra,COLT - Single,Hip-Hop/Rap,2,Apple,1ACZpHI5vZ5Ea4xGlkdGWM
37,Germany,Roller,Apache 207,Platte,Hip-Hop/Rap,3,Apple,69M9QCMsCQ5MLsw7BBW0rL
38,Germany,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,4,Apple,2XU0oxnq2qxCpomAAuJY8K
39,Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,5,Apple,2M39v73rNJmAXUXIW0oagP
40,US,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,1,Apple,0nbXyq5TXYPCO7pr3N8S4I
41,US,Start wit Me (feat. Gunna),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,2,Apple,5ravc2aiNoYmu9m37diYXW
42,US,Peta (feat. Meek Mill),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,3,Apple,4bl1HBZliBuYpFZjWgefE4
43,US,Tip Toe (feat. A Boogie wit da Hoodie),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,4,Apple,5j1yOqWONR9T6l43AzJ6Es
44,US,Woah,Lil Baby,Woah - Single,Hip-Hop/Rap,5,Apple,598yNsG1JFrGd4n2kMoz7F
45,Hong Kong,Hello,Adele,25,Pop,1,LastFM,4sPmO7WMQUAf45kwMOtONw
46,Hong Kong,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,2,LastFM,22VdIZQfgXJea34mQxlt81
47,Hong Kong,Photograph,Ed Sheeran,x,Pop,3,LastFM,1HNkqx9Ahdgi1Ixy2xkKkL
48,Hong Kong,Thinking Out Loud,Ed Sheeran,x,Pop,4,LastFM,34gCuhDGsG4bRPIf9bb02f
49,Hong Kong,Shape of You,Ed Sheeran,÷ (Deluxe),Pop,5,LastFM,7qiZfU4dY1lWllzX7mPBI3
50,Netherlands,Africa,Toto,Toto IV,Rock,1,LastFM,2374M0fQpWi3dLnB54qaLX
51,Netherlands,Sultans of Swing,Dire Straits,Dire Straits,Rock,2,LastFM,6cr6UDpkjEaMQ80OjWqEBQ
52,Netherlands,Hello,Adele,25,Pop,3,LastFM,4sPmO7WMQUAf45kwMOtONw
53,Netherlands,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
54,Netherlands,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,5,LastFM,5wj4E6IsrVtn8IBJQOd0Cl
55,Australia,The Less I Know the Better,Tame Impala,Currents,Alternative,1,LastFM,6K4t31amVTZDgR3sKmwUJJ
56,Australia,Mr. Brightside,The Killers,Hot Fuss,Rock,2,LastFM,7oK9VyNzrYvRFo7nQEYkWN
57,Australia,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,3,LastFM,22VdIZQfgXJea34mQxlt81
58,Australia,Hotline Bling,Drake,Views,Hip-Hop/Rap,4,LastFM,0wwPcA6wtMf6HUMpIRdeP7
59,Australia,Let It Happen,Tame Impala,Currents,Alternative,5,LastFM,2X485T9Z5Ly0xyaghN73ed
60,Canada,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM,22VdIZQfgXJea34mQxlt81
61,Canada,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM,0wwPcA6wtMf6HUMpIRdeP7
62,Canada,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM,7oK9VyNzrYvRFo7nQEYkWN
63,Canada,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
64,Canada,The Less I Know the Better,Tame Impala,Currents,Alternative,5,LastFM,6K4t31amVTZDgR3sKmwUJJ
65,France,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM,5ghIJDpPoe3CfHMGu71E6T
66,France,Creep,Radiohead,Pablo Honey,Alternative,2,LastFM,6b2oQwSGFkzsMtQruIWm2p
67,France,Come,Jain,Zanaka,Pop,3,LastFM,3TTMUI5dFcbeNSDTTDY9M8
68,France,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,4,LastFM,5wj4E6IsrVtn8IBJQOd0Cl
69,France,Karma Police,Radiohead,OK Computer,Alternative,5,LastFM,3SVAN3BRByDmHOhKyIDxfC
70,Japan,ロビンソン,スピッツ,ハチミツ,Pop,1,LastFM,4SBVWkRIMJ6WBCYPvr5Bwr
71,Japan,花束を君に,宇多田ヒカル,花束を君に,J-Pop,2,LastFM,31yv1hR9gw1WSEmtqsaZbD
72,Japan,新宝島,サカナクション,新宝島,Rock,3,LastFM,4a48lWUd64bZgHUDx0GZlj
73,Japan,リライト,ASIAN KUNG-FU GENERATION,ソルファ,Anime,4,LastFM,630sXRhIcfwr2e4RdNtjKN
74,Japan,道,宇多田ヒカル,Hikaru Utada Laughter in the Dark Tour 2018,Hip-Hop/Rap,5,LastFM,6KAw9NEvkVlIhg5T0G97M8
75,UK,Mr. Brightside,The Killers,Hot Fuss,Rock,1,LastFM,7oK9VyNzrYvRFo7nQEYkWN
76,UK,Africa,Toto,Toto IV,Rock,2,LastFM,2374M0fQpWi3dLnB54qaLX
77,UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,LastFM,0bYg9bo50gSsH3LtXe2SQn
