,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
27,Japan,宿命,Official髭男dism,宿命 - Single,J-Pop,3,Apple,1T6Db8pPGs2CaMGKQwfR5o,0.346,0.475,2,-8.992,0.0335,0.757,1.87e-05,0.171,0.232,126.821,237689
28,Japan,イエスタデイ,Official髭男dism,Traveler,J-Pop,4,Apple,270LcmQ5eUlY2Sl6Y4L6Wn,0.316,0.182,10,-15.146,0.0413,0.827,0.957,0.305,0.149,74.197,125760
29,Japan,マリーゴールド,あいみょん,瞬間的シックスセンス,J-Pop,5,Apple,0jWVUKsIoyo3zw64RaEWYg,0.545,0.745,2,-3.098,0.0286,0.0452,0.0,0.0907,0.413,106.094,306627
30,UK,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
31,UK,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,Hip-Hop/Rap,2,Apple,07s9NNOT0sZQp7TyolLLgu,0.817,0.781,7,-4.178,0.112,0.00838,5.21e-06,0.123,0.359,104.0,216707
32,UK,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Christmas,3,Apple,0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
33,UK,Last Christmas,Wham!,Twenty Five,Pop,4,Apple,6wn2nmFn3wDuiMldRiuRuL,0.757,0.618,11,-7.964,0.0282,0.262,0.0,0.221,0.861,106.856,267160
34,UK,Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,5,Apple,7ce20yLkzuXXLUhzIDoZih,0.459,0.575,3,-4.858,0.0573,0.604,0.0,0.0885,0.183,111.881,215107
35,Germany,KEIN SCHLAF,Nimo & Hava,NIMORIGINAL,Hip-Hop/Rap,1,Apple,6416zJN0FGPmh1Ph4BH2h3,0.606,0.715,11,-5.608,0.173,0.294,0.000133,0.124,0.393,174.049,200493
36,Germany,COLT,Samra,COLT - Single,Hip-Hop/Rap,2,Apple,1ACZpHI5vZ5Ea4xGlkdGWM,0.927,0.367,9,-7.797,0.382,0.325,0.0,0.132,0.576,99.053,328667
37,Germany,Roller,Apache 207,Platte,Hip-Hop/Rap,3,Apple,69M9QCMsCQ5MLsw7BBW0rL,0.8,0.562,2,-7.366,0.0961,0.0307,0.0,0.243,0.147,132.081,276349
38,Germany,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,4,Apple,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
39,Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,5,Apple,2M39v73rNJmAXUXIW0oagP,0.612,0.704,0,-4.147,0.372,0.126,0.0,0.569,0.672,96.015,192147
40,US,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,1,Apple,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,196653
41,US,Start wit Me (feat. Gunna),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,2,Apple,5ravc2aiNoYmu9m37diYXW,0.924,0.466,4,-9.472,0.244,0.0401,0.0,0.109,0.539,130.038,146656
42,US,Peta (feat. Meek Mill),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,3,Apple,4bl1HBZliBuYpFZjWgefE4,0.778,0.573,10,-7.339,0.251,0.015,0.0,0.464,0.269,140.114,198849
43,US,Tip Toe (feat. A Boogie wit da Hoodie),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,4,Apple,5j1yOqWONR9T6l43AzJ6Es,0.757,0.673,1,-8.513,0.141,0.095,0.0,0.338,0.574,92.958,185806
44,US,Woah,Lil Baby,Woah - Single,Hip-Hop/Rap,5,Apple,598yNsG1JFrGd4n2kMoz7F,0.882,0.602,11,-5.554,0.245,0.0177,0.0,0.178,0.43,142.959,183011
45,Hong Kong,Hello,Adele,25,Pop,1,LastFM,4sPmO7WMQUAf45kwMOtONw,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
46,Hong Kong,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,2,LastFM,22VdIZQfgXJea34mQxlt81,0.705,0.769,9,-5.526,0.0426,0.112,0.0,0.105,0.59,107.939,213520
47,Hong Kong,Photograph,Ed Sheeran,x,Pop,3,LastFM,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987
48,Hong Kong,Thinking Out Loud,Ed Sheeran,x,Pop,4,LastFM,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560
49,Hong Kong,Shape of You,Ed Sheeran,÷ (Deluxe),Pop,5,LastFM,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713
50,Netherlands,Africa,Toto,Toto IV,Rock,1,LastFM,2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,295893
51,Netherlands,Sultans of Swing,Dire Straits,Dire Straits,Rock,2,LastFM,6cr6UDpkjEaMQ80OjWqEBQ,0.73,0.868,5,-7.325,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400
52,Netherlands,Hello,Adele,25,Pop,3,LastFM,4sPmO7WMQUAf45kwMOtONw,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
53,Netherlands,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920
54,Netherlands,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,5,LastFM,5wj4E6IsrVtn8IBJQOd0Cl,0.372,0.865,2,-4.918,0.0381,0.000453,0.0,0.234,0.478,174.53,258733
55,Australia,The Less I Know the Better,Tame Impala,Currents,Alternative,1,LastFM,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,4,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320
56,Australia,Mr. Brightside,The Killers,Hot Fuss,Rock,2,LastFM,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
57,Australia,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,3,LastFM,22VdIZQfgXJea34mQxlt81,0.705,0.769,9,-5.526,0.0426,0.112,0.0,0.105,0.59,107.939,213520
58,Australia,Hotline Bling,Drake,Views,Hip-Hop/Rap,4,LastFM,0wwPcA6wtMf6HUMpIRdeP7,0.891,0.625,2,-7.861,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067
59,Australia,Let It Happen,Tame Impala,Currents,Alternative,5,LastFM,2X485T9Z5Ly0xyaghN73ed,0.602,0.881,1,-5.875,0.0443,0.00462,0.0266,0.111,0.577,125.012,467587
60,Canada,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM,22VdIZQfgXJea34mQxlt81,0.705,0.769,9,-5.526,0.0426,0.112,0.0,0.105,0.59,107.939,213520
61,Canada,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM,0wwPcA6wtMf6HUMpIRdeP7,0.891,0.625,2,-7.861,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067
