,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
117,US,Heartless,Diplo,Heartless (feat. Morgan Wallen) - Single,Country,3,Spotify,57vxBYXtHMk6H1aD29V7PU,0.531,0.75,10,-5.831,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080
118,US,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,4,Spotify,0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
119,US,Adore You,Harry Styles,Fine Line,Pop,5,Spotify,1M4qEo4HE3PRaCOM7EXNJq,0.676,0.771,8,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133
120,UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,1,Spotify,0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
121,UK,Last Christmas,Wham!,Last Christmas - Single,Holiday,2,Spotify,6wn2nmFn3wDuiMldRiuRuL,0.757,0.618,11,-7.964,0.0282,0.262,0.0,0.221,0.861,106.856,267160
122,UK,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,3,Spotify,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
123,UK,Rockin' Around The Christmas Tree,Brenda Lee,20th Century Masters - The Christmas Collection: The Best of Brenda Lee,Holiday,4,Spotify,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8,-8.749,0.0502,0.614,0.0,0.505,0.898,67.196,126267
124,UK,It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas,Holiday,5,Spotify,5a1iz510sv2W9Dt1MvFd5R,0.339,0.214,4,-11.714,0.0375,0.908,7.47e-06,0.341,0.363,94.775,206640
125,Canada,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
126,Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Spotify,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,163636
127,Canada,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify,0bYg9bo50gSsH3LtXe2SQn,0.335,0.625,7,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,241107
128,Canada,Heartless,Diplo,Heartless (feat. Morgan Wallen) - Single,Country,4,Spotify,57vxBYXtHMk6H1aD29V7PU,0.531,0.75,10,-5.831,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080
129,Canada,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,5,Spotify,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
130,Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,1,Spotify,0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947,190960
131,Hong Kong,Memories,Maroon 5,Memories - Single,Pop,2,Spotify,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,189486
132,Hong Kong,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
133,Hong Kong,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,4,Spotify,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,245426
134,Hong Kong,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,5,Spotify,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
