Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID
Hong Kong,Photograph,Ed Sheeran,x,Pop,3,LastFM,1HNkqx9Ahdgi1Ixy2xkKkL
Hong Kong,Thinking Out Loud,Ed Sheeran,x,Pop,4,LastFM,34gCuhDGsG4bRPIf9bb02f
Hong Kong,Shape of You,Ed Sheeran,÷ (Deluxe),Pop,5,LastFM,7qiZfU4dY1lWllzX7mPBI3
Netherlands,Africa,Toto,Toto IV,Rock,1,LastFM,2374M0fQpWi3dLnB54qaLX
Netherlands,Sultans of Swing,Dire Straits,Dire Straits,Rock,2,LastFM,6cr6UDpkjEaMQ80OjWqEBQ
Netherlands,Hello,Adele,25,Pop,3,LastFM,4sPmO7WMQUAf45kwMOtONw
Netherlands,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
Netherlands,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,5,LastFM,5wj4E6IsrVtn8IBJQOd0Cl
Australia,The Less I Know the Better,Tame Impala,Currents,Alternative,1,LastFM,6K4t31amVTZDgR3sKmwUJJ
Australia,Mr. Brightside,The Killers,Hot Fuss,Rock,2,LastFM,7oK9VyNzrYvRFo7nQEYkWN
Australia,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,3,LastFM,22VdIZQfgXJea34mQxlt81
Australia,Hotline Bling,Drake,Views,Hip-Hop/Rap,4,LastFM,0wwPcA6wtMf6HUMpIRdeP7
Australia,Let It Happen,Tame Impala,Currents,Alternative,5,LastFM,2X485T9Z5Ly0xyaghN73ed
Canada,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM,22VdIZQfgXJea34mQxlt81
Canada,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM,0wwPcA6wtMf6HUMpIRdeP7
Canada,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM,7oK9VyNzrYvRFo7nQEYkWN
Canada,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
Canada,The Less I Know the Better,Tame Impala,Currents,Alternative,5,LastFM,6K4t31amVTZDgR3sKmwUJJ
France,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM,5ghIJDpPoe3CfHMGu71E6T
France,Creep,Radiohead,Pablo Honey,Alternative,2,LastFM,6b2oQwSGFkzsMtQruIWm2p
France,Come,Jain,Zanaka,Pop,3,LastFM,3TTMUI5dFcbeNSDTTDY9M8
